PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_NAME;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_CATEGORY;REQUIREMENTS_ATTRIBUTES_OBJETIVE_ID;REQUIREMENTS_ATTRIBUTES_OBJETIVE_NAME;REQUIREMENTS_ATTRIBUTES_CHECK_SUMMARY;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;A.12.4.J;Logging and Monitoring;Ensure a log metric filter and alarm exist for CloudTrail configuration changes;A.12 Operations Security;A.12.4.J;Logging and Monitoring;Ensure a log metric filter and alarm exist for CloudTrail configuration changes;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:ap-south-1:735291151388:log-group;cloudwatch_log_metric_filter_and_alarm_for_cloudtrail_configuration_changes_enabled;False;735291151388;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;A.12.4.I;Logging and Monitoring;Ensure a log metric filter and alarm exist for AWS Management Console authentication failures;A.12 Operations Security;A.12.4.I;Logging and Monitoring;Ensure a log metric filter and alarm exist for AWS Management Console authentication failures;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:ap-south-1:735291151388:log-group;cloudwatch_log_metric_filter_authentication_failures;False;735291151388;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;A.10.1.C;Cryptographic Controls;Detect Customer Master Keys (CMKs) scheduled for deletion;A.10 Cryptography;A.10.1.C;Cryptographic Controls;Detect Customer Master Keys (CMKs) scheduled for deletion;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:ap-south-1:735291151388:log-group;cloudwatch_log_metric_filter_disable_or_scheduled_deletion_of_kms_cmk;False;735291151388;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;A.12.4.H;Logging and Monitoring;Ensure a log metric filter and alarm exist for disabling or scheduled deletion of customer created CMKs;A.12 Operations Security;A.12.4.H;Logging and Monitoring;Ensure a log metric filter and alarm exist for disabling or scheduled deletion of customer created CMKs;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:ap-south-1:735291151388:log-group;cloudwatch_log_metric_filter_disable_or_scheduled_deletion_of_kms_cmk;False;735291151388;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;A.12.4.G;Logging and Monitoring;Ensure a log metric filter and alarm exist for S3 bucket policy changes;A.12 Operations Security;A.12.4.G;Logging and Monitoring;Ensure a log metric filter and alarm exist for S3 bucket policy changes;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:ap-south-1:735291151388:log-group;cloudwatch_log_metric_filter_for_s3_bucket_policy_changes;False;735291151388;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;A.12.4.K;Logging and Monitoring;Ensure a log metric filter and alarm exist for IAM policy changes;A.12 Operations Security;A.12.4.K;Logging and Monitoring;Ensure a log metric filter and alarm exist for IAM policy changes;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:ap-south-1:735291151388:log-group;cloudwatch_log_metric_filter_policy_changes;False;735291151388;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;A.12.4.L;Logging and Monitoring;Ensure a log metric filter and alarm exist for usage of root account;A.12 Operations Security;A.12.4.L;Logging and Monitoring;Ensure a log metric filter and alarm exist for usage of root account;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:ap-south-1:735291151388:log-group;cloudwatch_log_metric_filter_root_usage;False;735291151388;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;A.12.4.E;Logging and Monitoring;Ensure a log metric filter and alarm exist for security group changes;A.12 Operations Security;A.12.4.E;Logging and Monitoring;Ensure a log metric filter and alarm exist for security group changes;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:ap-south-1:735291151388:log-group;cloudwatch_log_metric_filter_security_group_changes;False;735291151388;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;A.12.4.M;Logging and Monitoring;Ensure a log metric filter and alarm exist for Management Console sign-in without MFA;A.12 Operations Security;A.12.4.M;Logging and Monitoring;Ensure a log metric filter and alarm exist for Management Console sign-in without MFA;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:ap-south-1:735291151388:log-group;cloudwatch_log_metric_filter_sign_in_without_mfa;False;735291151388;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
aws;ISO (the International Organization for Standardization) and IEC (the International Electrotechnical Commission) form the specialized system for worldwide standardization. National bodies that are members of ISO or IEC participate in the development of International Standards through technical committees established by the respective organization to deal with particular fields of technical activity. ISO and IEC technical committees collaborate in fields of mutual interest. Other international organizations, governmental and non-governmental, in liaison with ISO and IEC, also take part in the work.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;A.12.4.N;Logging and Monitoring;Ensure a log metric filter and alarm exist for unauthorized API calls;A.12 Operations Security;A.12.4.N;Logging and Monitoring;Ensure a log metric filter and alarm exist for unauthorized API calls;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;arn:aws:logs:ap-south-1:735291151388:log-group;cloudwatch_log_metric_filter_unauthorized_api_calls;False;735291151388;ISO27001;ISO/IEC 27001 Information Security Management Standard 2013
