PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_FUNCTION;REQUIREMENTS_ATTRIBUTES_ASSETTYPE;REQUIREMENTS_ATTRIBUTES_IMPLEMENTATIONGROUPS;STATUS;STATUSEXTENDED;RESOURCEID;RESOURCENAME;CHECKID;MUTED;FRAMEWORK;NAME
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;4.4;Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.;4. Secure Configuration of Enterprise Assets and Software;Protect;Devices;IG1 | IG2 | IG3;PASS;Instance i-0c7395c282641f31e does not have Cassandra ports open to the Internet.;arn:aws:ec2:ap-south-1:735291151388:instance/i-0c7395c282641f31e;i-0c7395c282641f31e;ec2_instance_port_cassandra_exposed_to_internet;False;CIS-Controls;CIS Controls v8.1
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;4.4;Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.;4. Secure Configuration of Enterprise Assets and Software;Protect;Devices;IG1 | IG2 | IG3;PASS;Instance i-0c7395c282641f31e does not have CIFS ports open to the Internet.;arn:aws:ec2:ap-south-1:735291151388:instance/i-0c7395c282641f31e;i-0c7395c282641f31e;ec2_instance_port_cifs_exposed_to_internet;False;CIS-Controls;CIS Controls v8.1
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;4.4;Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.;4. Secure Configuration of Enterprise Assets and Software;Protect;Devices;IG1 | IG2 | IG3;PASS;Instance i-0c7395c282641f31e does not have Elasticsearch/Kibana ports open to the Internet.;arn:aws:ec2:ap-south-1:735291151388:instance/i-0c7395c282641f31e;i-0c7395c282641f31e;ec2_instance_port_elasticsearch_kibana_exposed_to_internet;False;CIS-Controls;CIS Controls v8.1
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;4.4;Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.;4. Secure Configuration of Enterprise Assets and Software;Protect;Devices;IG1 | IG2 | IG3;PASS;Instance i-0c7395c282641f31e does not have FTP ports open to the Internet.;arn:aws:ec2:ap-south-1:735291151388:instance/i-0c7395c282641f31e;i-0c7395c282641f31e;ec2_instance_port_ftp_exposed_to_internet;False;CIS-Controls;CIS Controls v8.1
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;4.4;Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.;4. Secure Configuration of Enterprise Assets and Software;Protect;Devices;IG1 | IG2 | IG3;PASS;Instance i-0c7395c282641f31e does not have Kafka port 9092 open to the Internet.;arn:aws:ec2:ap-south-1:735291151388:instance/i-0c7395c282641f31e;i-0c7395c282641f31e;ec2_instance_port_kafka_exposed_to_internet;False;CIS-Controls;CIS Controls v8.1
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;4.4;Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.;4. Secure Configuration of Enterprise Assets and Software;Protect;Devices;IG1 | IG2 | IG3;PASS;Instance i-0c7395c282641f31e does not have Kerberos ports open to the Internet.;arn:aws:ec2:ap-south-1:735291151388:instance/i-0c7395c282641f31e;i-0c7395c282641f31e;ec2_instance_port_kerberos_exposed_to_internet;False;CIS-Controls;CIS Controls v8.1
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;4.4;Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.;4. Secure Configuration of Enterprise Assets and Software;Protect;Devices;IG1 | IG2 | IG3;PASS;Instance i-0c7395c282641f31e does not have LDAP ports open to the Internet.;arn:aws:ec2:ap-south-1:735291151388:instance/i-0c7395c282641f31e;i-0c7395c282641f31e;ec2_instance_port_ldap_exposed_to_internet;False;CIS-Controls;CIS Controls v8.1
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;4.4;Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.;4. Secure Configuration of Enterprise Assets and Software;Protect;Devices;IG1 | IG2 | IG3;PASS;Instance i-0c7395c282641f31e does not have Memcached port 11211 open to the Internet.;arn:aws:ec2:ap-south-1:735291151388:instance/i-0c7395c282641f31e;i-0c7395c282641f31e;ec2_instance_port_memcached_exposed_to_internet;False;CIS-Controls;CIS Controls v8.1
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;4.4;Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.;4. Secure Configuration of Enterprise Assets and Software;Protect;Devices;IG1 | IG2 | IG3;PASS;Instance i-0c7395c282641f31e does not have MongoDB ports open to the Internet.;arn:aws:ec2:ap-south-1:735291151388:instance/i-0c7395c282641f31e;i-0c7395c282641f31e;ec2_instance_port_mongodb_exposed_to_internet;False;CIS-Controls;CIS Controls v8.1
aws;The CIS Critical Security Controls (CIS Controls) v8.1 are a prioritized set of Safeguards to mitigate the most prevalent cyber-attacks against systems and networks. They are organized into 18 top-level Controls and mapped to three Implementation Groups (IG1, IG2, IG3). This is a cross-provider mapping of Prowler checks to the CIS Controls Safeguards that can be assessed automatically against cloud and platform configurations.;735291151388;ap-south-1;2026-07-11 14:19:13.485135;4.4;Implement and manage a firewall on servers, where supported. Example implementations include a virtual firewall, operating system firewall, or a third-party firewall agent.;4. Secure Configuration of Enterprise Assets and Software;Protect;Devices;IG1 | IG2 | IG3;PASS;Instance i-0c7395c282641f31e does not have MySQL port 3306 open to the Internet.;arn:aws:ec2:ap-south-1:735291151388:instance/i-0c7395c282641f31e;i-0c7395c282641f31e;ec2_instance_port_mysql_exposed_to_internet;False;CIS-Controls;CIS Controls v8.1
